web-scraper-order,web-scraper-start-url,nama,harga
"1519722148-97","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Teh Botol","Rp 6.364,-"
"1519722148-92","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Teh Manis","Rp 4.545,-"
"1519722148-59","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Sambal Terasi","Rp 9.350,-"
"1519722148-71","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Juice Wortel","Rp 19.800,-"
"1519722148-32","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Sop Buntut Bakar + Nasi","Rp 66.000,-"
"1519722148-66","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Juice Ketimun","Rp 19.800,-"
"1519722148-6","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Paket 3 : Ayam Bakar","Rp 38.000,-"
"1519722148-95","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Aqua Botol 600ml","Rp 6.364,-"
"1519722148-40","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Piscok","Rp 14.545,-"
"1519722148-43","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Tahu Goreng","Rp 12.100,-"
"1519722148-15","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Ayam Presto Bakar","Rp 21.500,-"
"1519722148-64","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Juice Jeruk","Rp 19.800,-"
"1519722148-41","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Plecing Kankung","Rp 19.250,-"
"1519722148-11","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Paket 8 : AGOR Komplit","Rp 44.000,-"
"1519722148-83","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Es Teh Manis","Rp 5.500,-"
"1519722148-22","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Ayam Presto Telur Asin","Rp 25.500,-"
"1519722148-62","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Juice Apel","Rp 19.800,-"
"1519722148-4","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Paket 1 : Ayam Crispy 1","Rp 30.500,-"
"1519722148-46","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Telur Mata Sapi","Rp 7.700,-"
"1519722148-56","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Sambal Goreng Teri Pete","Rp 27.500,-"
"1519722148-39","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Pete Goreng","Rp 17.600,-"
"1519722148-30","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Sop Buntut + Nasi","Rp 66.000,-"
"1519722148-82","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Es Soda Gembira","Rp 18.700,-"
"1519722148-19","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Ayam Presto Goreng Crispy","Rp 20.000,-"
"1519722148-18","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Ayam Presto Cabe Merah","Rp 24.000,-"
"1519722148-63","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Juice Jambu Merah","Rp 19.800,-"
"1519722148-5","https://klik-eat.com/restaurant/atl-hayamwuruk-dahlan/","Paket 2 : Ayam Crispy 2","Rp 36.500,-"
