web-scraper-order,web-scraper-start-url,nama-resto,nama-resto-href,nama-makanan,harga-makanan,detail-makanan
"1520910700-3081","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Es jeruk peres jeruk manis","Rp. 0",""
"1520910700-2954","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Bubur ikan asin istimewa","Rp. 42,000",""
"1520910514-2487","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Sudirman Park","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-sudirman-park","Nasi Goreng","Rp. 27,500",""
"1520910823-3162","https://www.pumasera.com/content/restaurant","Raja Konro Daeng Naba","https://www.pumasera.com/content/restaurant/detail/raja-konro-daeng-naba","Sop Sum Sum Kaledo","Rp. 60,500",""
"1520910700-2859","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Sop ayam","Rp. 79,200",""
"1520910637-2776","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Aneka Buah Potong","Rp. 13,200",""
"1520910264-1758","https://www.pumasera.com/content/restaurant","Sarimande Metropolitan","https://www.pumasera.com/content/restaurant/detail/sarimande-metropolitan","Nasi Bilis","Rp. 34,100",""
"1520909303-974","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Nasi Merah","Rp. 8,800",""
"1520909960-1579","https://www.pumasera.com/content/restaurant","Sop Kaki Kambing Dudung Roxy","https://www.pumasera.com/content/restaurant/detail/sop-kaki-kambing-dudung-roxy","Sop Kaki Kambing","Rp. 65,000","per pax"
"1520910082-1676","https://www.pumasera.com/content/restaurant","Sop Buntut Ibu Samino","https://www.pumasera.com/content/restaurant/detail/sop-buntut-ibu-samino","Paket Nasi Pecel Komplit","Rp. 30,000","Nasi Putih, Pecel, Ayam Goreng, Telor, Tempe/Tahu, Krupuk, Sambal, Pisang"
"1520911312-3825","https://www.pumasera.com/content/restaurant","Otak Otak Ibu Elly Khas Makassar","https://www.pumasera.com/content/restaurant/detail/otak-otak-ibu-elly-khas-makassar","Kepiting Cabe garam","Rp. 160,000","Per Porsi"
"1520909303-972","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Nasi Putih","Rp. 7,150",""
"1520910700-2965","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Beby buncis polos","Rp. 55,200",""
"1520909303-949","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Kangkung Hot Plate Polos","Rp. 27,500",""
"1520911190-3643","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Nasi Tim Ayam","Rp. 15,000",""
"1520910451-2131","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Udang Bumbu Pedas","Rp. 121,000","Reguler"
"1520909303-983","https://www.pumasera.com/content/restaurant","Warung Tekko","https://www.pumasera.com/content/restaurant/detail/warung-tekko","Telur Mata Sapi","Rp. 8,800",""
"1520910885-3312","https://www.pumasera.com/content/restaurant","Puput Chinese Food Setiabudi","https://www.pumasera.com/content/restaurant/detail/puput-chinese-food-setiabudi","Lumpia Udang Keju","Rp. 53,130",""
"1520910082-1674","https://www.pumasera.com/content/restaurant","Sop Buntut Ibu Samino","https://www.pumasera.com/content/restaurant/detail/sop-buntut-ibu-samino","Nasi Goreng Iga","Rp. 50,000",""
"1520910637-2790","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Sate Ayam","Rp. 15,400","Per Porsi+Pondok"
"1520911312-3880","https://www.pumasera.com/content/restaurant","Otak Otak Ibu Elly Khas Makassar","https://www.pumasera.com/content/restaurant/detail/otak-otak-ibu-elly-khas-makassar","Pallu kaloa","Rp. 27,500","Per Porsi"
"1520910451-2225","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Pangsit Ikan","Rp. 66,000","10 Pcs"
"1520910387-2034","https://www.pumasera.com/content/restaurant","Sandwich Bakar Pesanggrahan","https://www.pumasera.com/content/restaurant/detail/sandwich-bakar-pesanggrahan","Lime Juice","Rp. 14,850",""
"1520910082-1699","https://www.pumasera.com/content/restaurant","Sop Buntut Ibu Samino","https://www.pumasera.com/content/restaurant/detail/sop-buntut-ibu-samino","Jus Nagasari","Rp. 18,000",""
"1520911007-3589","https://www.pumasera.com/content/restaurant","Pondok Mutiara 68","https://www.pumasera.com/content/restaurant/detail/pondok-mutiara-68","Juice Nanas","Rp. 15,400",""
"1520910637-2687","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Kebon Jeruk","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-kebon-jeruk","Gulai Kakap","Rp. 77,000",""
"1520911190-3671","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Ifu Mie/Lo Mie Ayam","Rp. 23,000",""
"1520909321-1097","https://www.pumasera.com/content/restaurant","Warung Leko","https://www.pumasera.com/content/restaurant/detail/warung-leko","Ayam Bakar","Rp. 35,200",""
"1520910700-2869","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Ikan lindung masak asam manis","Rp. 72,000",""
"1520911190-3648","https://www.pumasera.com/content/restaurant","Pang Garden","https://www.pumasera.com/content/restaurant/detail/pang-garden","Adaan","Rp. 6,000",""
"1520910700-2839","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Ayam goreng  kecap","Rp. 72,000",""
"1520910451-2354","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Bistik Sapi","Rp. 13,200","Large"
"1520910264-1770","https://www.pumasera.com/content/restaurant","Sarimande Metropolitan","https://www.pumasera.com/content/restaurant/detail/sarimande-metropolitan","Nasi Ayam Pop+Telur","Rp. 34,650",""
"1520910514-2496","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Sudirman Park","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-sudirman-park","Paket Ayam Pop","Rp. 44,000","Nasi+Ayam Pop+Telor+Sayur+Lalap+Sambal+Pisang"
"1520910514-2556","https://www.pumasera.com/content/restaurant","Restoran Padang Sederhana Sudirman Park","https://www.pumasera.com/content/restaurant/detail/restoran-padang-sederhana-sudirman-park","Juice Sari Buah","Rp. 27,500",""
"1520910451-2377","https://www.pumasera.com/content/restaurant","Restoran Tio Ciu Mangga Besar","https://www.pumasera.com/content/restaurant/detail/restoran-tio-ciu-mangga-besar","Angsio Tahu","Rp. 60,500","Reguler"
"1520910700-2944","https://www.pumasera.com/content/restaurant","Resto Mandala","https://www.pumasera.com/content/restaurant/detail/resto-mandala","Kodok masak tahu tausi","Rp. 93,600",""
