web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520906638-274","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Gele Tinggi","Rp. 50,000","Nasi+Ayam Geprek+Toping Keju Mozarella+Tempe+Ttahu+Telor Ceplok+Terong+Lalapan"
"1520906638-277","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Telor Geprek","Rp. 5,000",""
"1520906638-263","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","GORI (Geprek Original)","Rp. 17,000","Nasi+Ayam Geprek Sambal Pedes+Lalapan"
"1520906638-275","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Tempe Geprek","Rp. 5,000",""
"1520906638-269","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","GERY (Geprek Strawberry)","Rp. 22,500","Nasi+Ayam Geprek Sambal Strawberry+Lalapan"
"1520906638-267","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","GELISAH (Geprek Sosis Pedes)","Rp. 17,000","Nasi+Sosis Goreng Geprek Sambal Pedas+Lalapan"
"1520906638-264","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","GELE (Geprek Mozarella)","Rp. 27,000","Nasi+Ayam Geprek+Toping Keju Mozarella+Lalapan"
"1520906638-271","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Gori Maximalis","Rp. 37,500","Nasi+Ayam Geprek+Tempe+Tahu+Telor Ceplok+Terong+Lalapan"
"1520906638-276","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Tahu Geprek","Rp. 5,000",""
"1520906638-270","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Geprek Salted Egg","Rp. 35,000","Nasi+Ayam Geprek Saus Telor Asin+Lalapan"
"1520906638-278","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Terong Geprek","Rp. 5,000",""
"1520906638-273","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Kegep Parah","Rp. 45,000","Nasi+Ayam Geprek+Toping Keju Chedar+Tempe+Tahu+Telor Ceplok+Terong+Lalapan"
"1520906638-279","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Kol Goreng Geprek","Rp. 5,000",""
"1520906638-268","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","GESER (Geprek Sambal Roa)","Rp. 17,000","Nasi+Ayam Geprek Sambal Roa+Lalapan"
"1520906638-266","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","KREMIE (Geprek Mie)","Rp. 23,000","Indomie Goreng+Ayam Geprek+Lalapan"
"1520906638-265","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","KEGEP (Geprek Keju)","Rp. 17,000","Nasi+Ayam Geprek+Toping Keju Chedar+Lalapan"
"1520906638-272","https://www.pumasera.com/content/restaurant/detail/ayam-geprek-bozz","Kremiean Banget","Rp. 37,500","Indomie Goreng+Ayam Geprek+Tempe+Tahu+Telor Ceplok+Terong+Lalapan"
