web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520907001-291","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Charge Box","Rp. 1,000",""
"1520907001-307","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Sedang","Rp. 0",""
"1520907001-299","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Tahu","Rp. 2,500",""
"1520907001-282","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Nasi Putih","Rp. 5,000",""
"1520907001-305","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Ayam per potong","Rp. 15,000",""
"1520907001-280","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Ayam Dada/Paha","Rp. 15,000",""
"1520907001-286","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Sate Kulit","Rp. 3,000",""
"1520907001-285","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Sate Ati","Rp. 3,000",""
"1520907001-300","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Tempe","Rp. 2,500",""
"1520907001-281","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Bakwan Jagung","Rp. 5,000",""
"1520907001-301","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Sate Usus","Rp. 2,500",""
"1520907001-306","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Gak Pedas","Rp. 0",""
"1520907001-295","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Paket 3","Rp. 24,000","Nasi Putih, Ayam Sambal Bawang, Tahu, Lalapan, Box+sendok."
"1520907001-309","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Super Pedas","Rp. 0",""
"1520907001-284","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Tempe","Rp. 2,000",""
"1520907001-292","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Terong Crispy","Rp. 5,000",""
"1520907001-303","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Sate Ati","Rp. 2,500",""
"1520907001-304","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Kerupuk Tenggiri","Rp. 2,500",""
"1520907001-289","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Kol Goreng","Rp. 3,000",""
"1520907001-294","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Paket 2","Rp. 24,000","Nasi Putih, Ayam Sambal Bawang, Tempe, Lalapan, Box+sendok."
"1520907001-283","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Tahu","Rp. 2,000",""
"1520907001-302","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Sate Kulit","Rp. 2,500",""
"1520907001-296","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Paket 4","Rp. 25,000","Nasi Putih, Ayam Sambal Bawang, Tahu, Tempe, Lalapan, Box+sendok."
"1520907001-308","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Pedas","Rp. 0",""
"1520907001-290","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Nasi Uduk","Rp. 6,000",""
"1520907001-287","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Sate Usus","Rp. 3,000",""
"1520907001-298","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Nasi Uduk","Rp. 6,000","Untuk pegantian nasi uduk pada Paket di kenakan charge Rp.1000"
"1520907001-288","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Kerupuk","Rp. 2,000",""
"1520907001-297","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Nasi Putih","Rp. 5,000",""
"1520907001-293","https://www.pumasera.com/content/restaurant/detail/ayam-gepuk-pak-gembus","Paket 1","Rp. 22,000","Nasi Putih, Ayam Sambal Bawang, Lalapan, Box+sendok."
