web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520907239-353","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Sambal Terasi Besar","Rp. 26,000",""
"1520907239-344","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Udang Goreng Kremes","Rp. 23,000",""
"1520907239-370","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Es Batu","Rp. 1,500",""
"1520907239-318","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket Kwek C","Rp. 37,000","Nasi, Sayur Asem, 1/2 Ekor Bebek Muda"
"1520907239-342","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Iso Goreng ( usus sapi )","Rp. 21,000",""
"1520907239-359","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Teh Manis / Es Teh Manis","Rp. 5,000",""
"1520907239-338","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Nila Goreng kremes","Rp. 21,000",""
"1520907239-367","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Es Teh Tarik / Teh Tarik Panas","Rp. 12,000",""
"1520907239-336","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kalasan Kampung Dada/Paha","Rp. 17,000",""
"1520907239-331","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kalasan Negri 1 Ekor","Rp. 47,000",""
"1520907239-316","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket Kwek A","Rp. 37,000","Nasi, Sayur Urap, 1/2 Ekor Bebek Muda"
"1520907239-356","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Sambal Bawang Kecil","Rp. 10,000",""
"1520907239-320","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket Nila B","Rp. 27,000","Nasi, Sayur Pecel, Nila Goreng"
"1520907239-360","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ocha / Teh Hijau","Rp. 6,000",""
"1520907239-364","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Es Lomon Tea / Lemon Tea Panas","Rp. 12,000",""
"1520907239-313","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket B ( Ayam Kampung )","Rp. 25,000","Nasi, Sayur Pecel, Ayam Goreng / Kalasan Bakar"
"1520907239-339","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Bandeng Kremes Tanpa Duri","Rp. 25,000",""
"1520907239-323","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket Bandeng B","Rp. 33,000","Nasi, Sayur Pecel, Bandeng Kremes Tanpa Duri"
"1520907239-362","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Cappucino","Rp. 9,000",""
"1520907239-369","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Air Mineral Botol","Rp. 6,000",""
"1520907239-317","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Paket Kwek B","Rp. 37,000","Nasi, Sayur Pecel, 1/2 Ekor Bebek Muda"
"1520907239-351","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Kremes Besar","Rp. 30,000",""
"1520907239-345","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Otak - Otak Goreng","Rp. 20,000",""
"1520907239-363","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Es Jeruk / Jeruk Panas","Rp. 12,000",""
"1520907239-340","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Tahu / Tempe Goreng ( isi 2 )","Rp. 8,000",""
"1520907239-346","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Sayur Asem","Rp. 7,000",""
"1520907239-337","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","1/2 Ekor Bebek Muda Kremes","Rp. 30,000",""
"1520907239-349","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Lalapan","Rp. 7,000",""
"1520907239-335","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kalasan Kampung 1/2 Ekor","Rp. 34,000",""
"1520907239-329","https://www.pumasera.com/content/restaurant/detail/ayam-kremes-bu-tjondro","Ayam Kremes Kampung 1/2 Ekor","Rp. 34,000",""
