web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520907528-435","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Pangsit Goreng","Rp. 36,000",""
"1520907528-444","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Goreng Seafood","Rp. 46,000",""
"1520907528-377","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Pangsit Goreng","Rp. 36,000",""
"1520907528-525","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Udang Cah Tahu","Rp. 55,000",""
"1520907528-652","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Jus Kelapa","Rp. 22,000",""
"1520907528-600","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Asparagus Rajungan (S)","Rp. 43,000",""
"1520907528-577","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kangkung Cah Sapi Telur Puyuh","Rp. 47,000",""
"1520907528-610","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Ayam Jamur (S)","Rp. 43,000",""
"1520907528-486","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Sapi Cah Cabe","Rp. 45,000",""
"1520907528-646","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Coca Cola","Rp. 12,000",""
"1520907528-403","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","I Fu Mie (L)","Rp. 43,500",""
"1520907528-539","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Ikan Kakap Cah Tahu Tausi","Rp. 55,000",""
"1520907528-493","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Nasi Ayam Kuluyuk","Rp. 35,000",""
"1520907528-422","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakso Sapi (2 pcs)","Rp. 10,000",""
"1520907528-607","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Sop Jagung Ayam Rajungan (L)","Rp. 50,000",""
"1520907528-475","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Risol (1 pcs)","Rp. 6,000",""
"1520907528-470","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Swekiau Goreng (3 pcs)","Rp. 20,000",""
"1520907528-395","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Masak Seafood","Rp. 46,000",""
"1520907528-615","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Teh Manis","Rp. 6,500",""
"1520907528-587","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Caisim Cah Polos","Rp. 26,000",""
"1520907528-423","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakso Sapi (4 pcs)","Rp. 20,000",""
"1520907528-464","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Kwetiau Ayam Jamur","Rp. 28,500",""
"1520907528-630","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Es Coca Cola Susu","Rp. 22,000",""
"1520907528-383","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bakmi Ayam Naga","Rp. 27,000",""
"1520907528-548","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bubur Ayam","Rp. 22,000",""
"1520907528-436","https://www.pumasera.com/content/restaurant/detail/bakmi-naga","Bihun Swekiau Goreng","Rp. 36,000",""
