web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520907924-666","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket VIII","Rp. 32,000","Nasi Putih+Sapo Tahu+Mie Goreng+Buah"
"1520907924-664","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket VI","Rp. 27,000","Nasi Putih+ Ayam Kremes+Sayur Asem+Tempe+Buah"
"1520907924-665","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket VII","Rp. 30,000","Nasi Putih+Soto Betawi+Acar+Buah"
"1520907924-663","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket V","Rp. 30,000","Nasi Putih+Gurame Asam Manis+Bihun Goreng+Tumis Brokoli+Buah"
"1520907924-662","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket IV","Rp. 35,000","Nasi Putih+Rawon+Telor Asin+Kerupuk+Sambel"
"1520907924-668","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket X","Rp. 30,000","Nasi Putih+Soto Ayam Lamongan+Kerupuk+Sambel+Buah"
"1520907924-660","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket II","Rp. 27,000","Nasi Putih+Ayam Bacem+Urapan+Tempe Goreng+Sambel+Buah"
"1520907924-659","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket I","Rp. 30,000","Lontong Cap Gomeh+Gudeg+Krecek+Ayam Opor+Telor"
"1520907924-661","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket III","Rp. 30,000","Nasi Putih+Pecel Madiun+Tahu Tempe Bacem+Telor Asin+Peyek+Buah"
"1520907924-667","https://www.pumasera.com/content/restaurant/detail/bakoel-djawa","Paket IX","Rp. 32,000","Nasi Goreng Kambing+Acar+Emping+Buah"
