web-scraper-order,web-scraper-start-url,nama,harga
"1520906190-22","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Ayam Asam Manis","Rp. 29,700"
"1520906190-15","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Fu Yung Hai","Rp. 29,700"
"1520906190-86","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Cumi Kuluyuk","Rp. 34,100"
"1520906190-56","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bihun Goreng Lapangan Tembak","Rp. 39,600"
"1520906190-119","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Es Alpukat","Rp. 16,500"
"1520906190-12","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Mie Ayam Rica-Rica","Rp. 24,200"
"1520906190-49","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Mie Rebus Jawa","Rp. 27,500"
"1520906190-75","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Ayam  Saus Padang","Rp. 31,900"
"1520906190-50","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Mie Goreng Seafood","Rp. 31,900"
"1520906190-67","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Kangkung Seafood","Rp. 30,800"
"1520906190-114","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Jeruk","Rp. 15,400"
"1520906190-70","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Fu Yung Hai","Rp. 31,900"
"1520906190-48","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Mie Goreng Sosis","Rp. 27,500"
"1520906190-79","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Udang Goreng Tepung","Rp. 34,100"
"1520906190-68","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Cap Cay Kuah","Rp. 31,900"
"1520906190-9","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Super","Rp. 33,000"
"1520906190-84","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Udang Lada Hitam","Rp. 34,100"
"1520906190-92","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Soto Daging","Rp. 24,200"
"1520906190-107","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Iced Blend Cappucino","Rp. 23,100"
"1520906190-17","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Kangkung Seafood","Rp. 29,700"
"1520906190-39","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Magelang","Rp. 27,500"
"1520906190-80","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Udang Kuluyuk","Rp. 34,100"
"1520906190-45","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Sapi Lada Hitam","Rp. 33,000"
"1520906190-55","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bihun Goreng Special","Rp. 27,500"
"1520906190-24","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Ayam Lada Hitam","Rp. 29,700"
"1520906190-90","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Cumi Lada Hitam","Rp. 34,100"
"1520906190-118","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Es Cincau","Rp. 15,400"
"1520906190-115","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Melon","Rp. 15,400"
"1520906190-71","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Ayam Goreng Mentega","Rp. 31,900"
"1520906190-57","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Kwetaiu Goreng Special","Rp. 27,500"
"1520906190-102","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Es Cendol Bandung","Rp. 15,000"
"1520906190-96","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Gado-Gado","Rp. 22,000"
"1520906190-6","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Urat","Rp. 24,200"
"1520906190-1","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Campur","Rp. 24,200"
"1520906190-58","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Kwetaiu Goreng Sosis","Rp. 27,500"
"1520906190-11","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Mie Ayam Bakso","Rp. 24,200"
"1520906190-89","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Cumi Saus Padang","Rp. 34,100"
"1520906190-25","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Sapi Lada Hitam","Rp. 31,900"
"1520906190-116","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Sirsak","Rp. 15,400"
"1520906190-31","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Cumi Goreng Tepung","Rp. 30,800"
"1520906190-124","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Teh Susu (Es/Panas)","Rp. 15,400"
"1520906190-41","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Ikan Asin","Rp. 27,500"
"1520906190-76","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Ayam Penyet","Rp. 25,300"
"1520906190-108","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Wortel","Rp. 16,500"
"1520906190-64","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Sapo Tahu Seafood","Rp. 31,900"
"1520906190-128","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Kopi Susu","Rp. 16,500"
"1520906190-85","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Cumi  Goreng Tepung","Rp. 34,100"
"1520906190-54","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bihun Goreng Seafood","Rp. 31,900"
"1520906190-94","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Tongseng Ayam","Rp. 27,500"
"1520906190-2","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Bakso Mie","Rp. 24,200"
"1520906190-42","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Goreng Otak-Otak","Rp. 27,500"
"1520906190-131","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Air Mineral","Rp. 8,800"
"1520906190-93","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Rawon","Rp. 27,500"
"1520906190-73","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Ayam Rica-Rica","Rp. 31,900"
"1520906190-77","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Sapi Lada Hitam","Rp. 35,200"
"1520906190-110","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Juice Mangga","Rp. 16,500"
"1520906190-35","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Nasi Cumi Saus Padang","Rp. 30,800"
"1520906190-13","https://www.pumasera.com/content/restaurant/detail/bakso-lapangan-tembak-senayan","Pangsit Goreng","Rp. 16,500"
