web-scraper-order,web-scraper-start-url,nama,harga,detail
"1520908109-688","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Nasi Goreng Bebek Rawit","Rp. 49,500",""
"1520908109-743","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Strawberry Juice","Rp. 27,500",""
"1520908109-675","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Paket Ayam 3","Rp. 38,500","Nasi Putih, Ayam Goreng Crispy 1/4 ekor, Plecing Kangkung"
"1520908109-710","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Es Kelapa Muda","Rp. 22,000",""
"1520908109-670","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Paket Bebek 2","Rp. 82,500","Nasi Putih, Bebek Garing 1/2 ekor"
"1520908109-673","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Paket Ayam 1","Rp. 27,500","Nasi Putih, Ayam Goreng Crispy 1/4 ekor"
"1520908109-718","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Es Campur Buah","Rp. 27,500",""
"1520908109-719","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Es Jeruk Nipis","Rp. 16,500",""
"1520908109-708","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Tahu Tempe Goreng","Rp. 22,000",""
"1520908109-687","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Nasi Goreng Vegetarian","Rp. 38,500",""
"1520908109-728","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Smoothies Manggo","Rp. 29,700",""
"1520908109-690","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Nasi Goreng Bebek","Rp. 49,500",""
"1520908109-672","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Paket Bebek 4","Rp. 82,500","Nasi Putih, Bebek Penyet Bumbu Bali 1/2 ekor"
"1520908109-689","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Nasi Goreng Bebek Pete","Rp. 49,500",""
"1520908109-694","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Bebek Crispy 1/2 Ekor","Rp. 55,000",""
"1520908109-726","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Orange Squash","Rp. 22,000",""
"1520908109-677","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Paket Ayam 5","Rp. 49,500","Nasi Putih, Ayam BBQ 1/4 ekor"
"1520908109-696","https://www.pumasera.com/content/restaurant/detail/bebek-garing-crispy-duck","Bebek Plecing Sambal Matah 1/2 Ekor","Rp. 82,500",""
