web-scraper-order,web-scraper-start-url,nama,deskripsi,foto-src,harga
"1520906384-19","https://www.phd.co.id/en/pizza","Meat Lovers Cheesy Mayo","Pizza dengan perpaduan rasa keju dan mayonnaise yang gurih","https://static.phd.co.id/menu/PHD_id-Cheesy_Meat_Lover_-1496043908.png","Rp 81,000"
"1520906384-21","https://www.phd.co.id/en/pizza","Super Supreme","Best-seller! Pizza yang super nikmat dengan campuran beberapa daging gurih, tambah enak dilengkapi paprika, nanas dan keju mozzarella","https://static.phd.co.id/menu/phd_pizza_super_supreme-1479458296.png","Rp 81,000"
"1520906384-15","https://www.phd.co.id/en/pizza","Meat Monsta","Pizza dengan topping keju mozarella, daging sapi asap, sosis BBQ, daging sapi cincang, jamur, saus keju, dan taburan daun parsley berpadu menjadi satu menciptakan rasa yang tidak akan terlupakan. 

Upgrade Regular Meat Monsta Pizza menjadi Black Pizza, harga tetap sama!","https://pizzahutid.s3.amazonaws.com/menu/blackpizza/Meat-Monsta-Menu-item-new.png","Rp 81,000"
"1520906384-23","https://www.phd.co.id/en/pizza","Pepperoni Jalapeno","Pizza yang berisi pepperoni, jalapeno, keju mozzarella dan saus special PHD","https://static.phd.co.id/menu/PHD_id-Pepperoni-Jalapeno-Menu-item-new.png","Rp 81,000"
"1520906384-18","https://www.phd.co.id/en/pizza","Meat Lovers","Pizza dengan macam-macam daging yang berlimpah, dipadu dengan keju mozzarella yang lezat pasti bikin kamu jatuh cinta","https://static.phd.co.id/menu/phd-pizza-meat-lovers-chicken.png","Rp 81,000"
"1520906384-16","https://www.phd.co.id/en/pizza","Splitza Signature","Bingung mau pizza American Favourite atau Meat Lovers? Pilih dua-duanya saja, ada dua pilihan topping dalam satu pizza","https://static.phd.co.id/menu/phd_pizza_splitza_signature.png","Rp 85,000"
"1520906384-28","https://www.phd.co.id/en/pizza","Hawaiian Chicken","""Aloha!"" Rasakan manisnya nanas dengan daging dada ayam, paprika, keju mozarella dan saus tomat spicy, bikin suasana santai kayak di pantai","https://static.phd.co.id/menu/phd_pizza_hawaiian_chicken.png","Rp 71,000"
"1520906384-26","https://www.phd.co.id/en/pizza","Cheesy Galore","Cheese lovers! Nikmati kelezatan keju mozarella berlapis bumbu khas Italia dan saus spesial yang pasti bikin kamu puas","https://static.phd.co.id/menu/phd_pizza_cheesy_galore.png","Rp 71,000"
"1520906384-20","https://www.phd.co.id/en/pizza","Meat Lovers Chicken","Pizza yang berisi chicken sosis, chicken luncheon, chicken sticks, keju mozzarella dan saus special PHD","https://static.phd.co.id/menu/phd-pizza-meat-lovers-chicken.png","Rp 81,000"
"1520906384-22","https://www.phd.co.id/en/pizza","American Favourite","Pizza favorit dengan beef pepperoni, daging cincang, jamur dan saus special yang rasanya pasti memuaskan di setiap gigitan","https://static.phd.co.id/menu/phd_pizza_american_favourite-1479458068.png","Rp 81,000"
"1520906384-27","https://www.phd.co.id/en/pizza","Supreme","Pizza dengan topping pepperoni, daging sapi, jamur, nanas, paprika dan keju mozzarella bikin kamu gak sabar buat nyobain","https://static.phd.co.id/menu/phd_pizza_supreme.png","Rp 71,000"
"1520906384-17","https://www.phd.co.id/en/pizza","Splitza Classic","Tak perlu dilema kalau mau pizza Supreme atau Meaty? Dua-duanya bisa kamu kombinasikan dalam satu pizza","https://static.phd.co.id/menu/phd_pizza_splitza_classic.png","Rp 75,000"
"1520906384-25","https://www.phd.co.id/en/pizza","Tuna Melt","Rahasia kelezatan pizza ini ada pada irisan tuna, jagung dan saus mayonnaise yang bakal bikin pengen nambah terus","https://static.phd.co.id/menu/phd_pizza_tuna_melt.png","Rp 71,000"
"1520906384-24","https://www.phd.co.id/en/pizza","Meaty","Pecinta daging tak perlu kuatir merasa lapar, pizza ini berisi macam-macam daging pilihan dan keju mozarella yang pasti bikin kamu kenyang","https://static.phd.co.id/menu/phd_pizza_meaty.png","Rp 71,000"
